record_id,employee_id,employee_name,pay_period,department,job_title,base_salary_month,overtime_hours,overtime_rate,overtime_pay,bonus,pre_tax_deductions,taxes_withheld,post_tax_deductions,gross_pay,net_pay,pay_method,payroll_notes
1,1,Joy Kurt,3/4/2025,Research and Development,Marketing Assistant,12047.41,48.92,59.68,2919.5456,19142.3,1750.02,7914.69,1828.51,32359.2356,22616.0356,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
2,2,Kiri Natt,12/5/2025,Sales,Speech Pathologist,5013.96,15.06,28.67,431.7702,1316.58,1913.7,2478.69,1553.48,4848.6102,816.4402,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
3,3,Mandi Armistead,11/7/2025,Marketing,Dental Hygienist,17663.63,50.65,120.73,6114.9745,11828.3,3320.35,13035.34,1457.34,32286.5545,17793.8745,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
4,4,Cecily Brushneen,4/16/2025,Support,Senior Financial Analyst,16038.49,8.94,96.57,863.3358,1636.1,4690.57,5794.14,4705.64,13847.3558,3347.5758,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
5,5,Aridatha McGreil,12/6/2025,Research and Development,Analyst Programmer,14064.79,9.43,29.0,273.47,12180.85,262.67,8775.08,2468.37,26256.44,15012.99,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
6,6,Marcile West-Frimley,1/30/2025,Human Resources,Food Chemist,8886.72,12.71,58.92,748.8732,4195.72,1759.47,10889.36,1442.15,12071.8432,-259.6668,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
7,7,Elicia Peegrem,6/25/2025,Product Management,Actuary,6958.84,18.35,86.94,1595.349,19573.58,111.86,2765.22,400.2,28015.909,24850.489,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
8,8,Krispin Pozzo,12/18/2025,Training,Nurse,6821.02,10.53,64.12,675.1836,19611.05,1741.69,3001.03,776.2,25365.5636,21588.3336,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
9,9,Kirbie Forlong,10/1/2025,Research and Development,Dental Hygienist,3211.55,13.35,61.12,815.952,14020.18,149.47,14423.49,4485.48,17898.212,-1010.758,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
10,10,Adrienne Kuhl,8/24/2025,Sales,General Manager,5593.84,1.07,44.01,47.0907,1662.47,4120.78,10207.35,1172.21,3182.6207,-8196.9393,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
11,11,Gavrielle Feveryear,4/19/2025,Marketing,VP Marketing,10220.19,48.34,112.05,5416.497,9107.19,394.76,7994.41,1459.89,24349.117,14894.817,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
12,12,Noelle Reidshaw,8/12/2025,Training,Teacher,16803.58,9.32,67.14,625.7448,9881.28,3623.66,703.24,3386.95,23686.9448,19596.7548,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
13,13,Farrell Chaudhry,12/29/2025,Training,Senior Developer,18993.61,36.12,16.97,612.9564,10991.29,2941.55,10052.9,360.13,27656.3064,17243.2764,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
14,14,Stewart Maddicks,3/6/2025,Engineering,Mechanical Systems Engineer,19883.85,36.09,56.11,2025.0099,3549.59,2111.94,11969.58,1717.74,23346.5099,9659.1899,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
15,15,Opalina Nary,12/3/2025,Business Development,Information Systems Manager,5764.57,31.66,120.31,3809.0146,11662.74,4400.74,1545.03,1805.71,16835.5846,13484.8446,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
16,16,Starr Duigan,2/10/2025,Sales,Senior Editor,19714.36,59.78,38.65,2310.497,10091.25,2713.09,620.57,4520.43,29403.017,24262.017,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
17,17,Kristal Ricards,8/25/2025,Sales,Account Executive,19872.14,36.77,16.04,589.7908,1443.29,1758.53,8375.91,3722.34,20146.6908,8048.4408,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
18,18,Ardis Brecknall,2/12/2025,Engineering,Registered Nurse,6806.83,29.05,123.34,3583.027,4384.57,3544.42,5190.09,62.77,11230.007,5977.147,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
19,19,Alane Seabon,6/7/2025,Legal,Human Resources Assistant II,17234.82,14.58,111.57,1626.6906,13082.8,2806.34,1814.16,3639.57,29137.9706,23684.2406,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
20,20,Lars Scroggie,5/3/2025,Business Development,Marketing Manager,14246.3,52.1,135.06,7036.626,18554.04,1175.56,10786.15,4689.28,38661.406,23185.976,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
21,21,Albie Knuckles,4/21/2025,Marketing,Computer Systems Analyst III,17739.54,31.77,85.32,2710.6164,7469.13,2000.69,817.62,282.08,25918.5964,24818.8964,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
22,22,Farlay Strewther,12/3/2025,Support,Administrative Assistant IV,11741.26,34.69,101.03,3504.7307,15178.32,265.99,10214.53,2996.39,30158.3207,16947.4007,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
23,23,Shirline Scala,2/2/2025,Sales,Information Systems Manager,17412.95,21.19,99.15,2100.9885,1959.37,4142.83,1891.06,1452.72,17330.4785,13986.6985,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
24,24,Kattie Cluff,4/29/2025,Services,Assistant Professor,8299.27,18.81,53.44,1005.2064,814.3,4624.79,12586.27,2736.03,5493.9864,-9828.3136,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
25,25,Granville Gonin,11/5/2025,Sales,GIS Technical Architect,12837.14,18.61,44.97,836.8917,14491.94,2825.38,14994.96,220.9,25340.5917,10124.7317,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
26,26,Bevvy Dwyr,12/4/2025,Product Management,Senior Sales Associate,15909.17,24.7,98.1,2423.07,4432.88,226.32,7711.31,4968.52,22538.8,9858.97,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
27,27,Elwin Emanuelli,12/3/2025,Marketing,Structural Engineer,18708.37,56.29,44.86,2525.1694,330.89,1064.52,13806.91,4078.03,20499.9094,2614.9694,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
28,28,Bobby Lemme,9/18/2025,Human Resources,Statistician II,10684.25,2.07,25.12,51.9984,2772.09,3724.25,5618.84,2933.42,9784.0884,1231.8284,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
29,29,Mitzi Pilkington,5/31/2025,Sales,GIS Technical Architect,9983.57,58.95,145.27,8563.6665,10628.57,181.94,10247.96,4082.84,28993.8665,14663.0665,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
30,30,Dame Wernher,7/2/2025,Marketing,Occupational Therapist,19402.54,43.51,126.28,5494.4428,15057.78,4023.39,3543.62,2707.47,35931.3728,29680.2828,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
31,31,Megen Phippard,8/15/2025,Accounting,Budget/Accounting Analyst I,15111.82,5.02,114.5,574.79,12655.0,702.04,1132.91,3162.05,27639.57,23344.61,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
32,32,Ericka Brudenell,9/29/2025,Business Development,Civil Engineer,5662.29,15.31,27.3,417.963,12974.85,3391.31,14707.03,3418.93,15663.793,-2462.167,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
33,33,Hyacinthia Vizard,4/26/2025,Sales,Budget/Accounting Analyst I,13624.32,19.41,61.64,1196.4324,17042.75,4805.68,52.09,4495.68,27057.8224,22510.0524,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
34,34,Elton Cottrill,10/7/2025,Services,Geological Engineer,11384.34,39.86,115.73,4612.9978,4045.64,3287.47,8569.56,3644.6,16755.5078,4541.3478,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
35,35,Tallie Rowbottom,12/21/2025,Marketing,Software Consultant,3085.68,55.47,35.78,1984.7166,2027.13,179.95,14605.78,1298.62,6917.5766,-8986.8234,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
