record_id,employee_id,employee_full_name,department,job_title,pay_period_start,pay_period_end,pay_month,base_salary_monthly,bonus,overtime_hours,overtime_pay,deductions,net_pay,pay_date,payment_method,currency_code
1,1,Kimbell Cartmill,Marketing,Administrative Officer,11/19/2024,7/31/2024,70,2801.63,1808.28,52.5,3989.9,5287.14,3312.67,11/18/2024,267090536,LTL
2,2,Sinclair Padilla,Support,VP Marketing,2/10/2024,3/11/2024,77,3535.05,2694.76,14.5,2683.0,7036.68,1876.13,6/26/2024,114917924,USD
3,3,Moises Empson,Business Development,Software Engineer I,6/22/2025,10/13/2025,47,7155.05,14769.03,39.0,4033.15,3451.86,22505.37,12/12/2024,111324293,CNY
4,4,Allyson Calrow,Business Development,Information Systems Manager,4/21/2024,7/18/2025,80,16180.06,9242.11,48.8,1816.12,183.89,27054.4,7/6/2025,111901056,SEK
5,5,Donnie Basten,Support,Marketing Manager,5/10/2026,10/5/2026,13,17144.93,1332.41,19.4,2045.73,7476.27,13046.8,6/5/2024,053012197,CZK
6,6,Iorgo Dukesbury,Research and Development,Clinical Specialist,9/12/2025,5/24/2025,6,9433.74,5270.96,40.8,3547.69,5202.88,13049.51,8/27/2026,086500634,AUD
7,7,Jasmine McKeever,Legal,Budget/Accounting Analyst I,8/17/2025,7/8/2024,88,7099.85,14288.91,17.1,5321.02,325.75,26384.03,2/16/2024,271971560,PLN
8,8,Ingelbert Darlasson,Product Management,Administrative Assistant I,10/12/2025,7/7/2026,47,18467.39,13048.11,27.2,4898.37,5881.23,30532.64,3/26/2025,065200188,ARS
9,9,Charil Pittham,Marketing,General Manager,2/19/2025,10/18/2024,18,9984.42,15737.15,18.1,2541.08,7888.85,20373.8,3/24/2026,104901034,BRL
10,10,Violet Glaisner,Sales,VP Quality Control,3/13/2024,2/9/2026,73,9369.82,16419.93,28.5,1453.69,3103.62,24139.82,3/22/2024,291471134,CNY
11,11,Keslie Durn,Services,VP Product Management,10/20/2025,7/22/2026,43,3985.87,12414.03,1.0,5265.33,5577.46,16087.77,8/27/2024,101114992,PLN
12,12,Marguerite Noblet,Sales,Civil Engineer,1/13/2024,6/11/2024,10,18378.66,4270.56,40.0,5136.94,4695.38,23090.78,3/28/2026,065305902,KES
13,13,Teodoro Kenelin,Product Management,Structural Engineer,4/26/2026,12/4/2025,52,18634.64,11411.29,19.4,472.87,7202.13,23316.67,9/7/2025,021205871,SSP
14,14,Buck Cranage,Product Management,Senior Financial Analyst,12/24/2026,6/20/2024,20,12524.62,16852.26,21.3,2078.75,3000.9,28454.73,5/31/2024,103102481,PLN
15,15,Thorpe Wyer,Engineering,Project Manager,4/19/2026,7/31/2025,34,3020.18,15114.42,10.0,3311.72,6486.05,14960.27,7/6/2025,121141042,PHP
16,16,Waylon De Giovanni,Support,Automation Specialist IV,12/26/2025,2/18/2025,26,3132.85,6751.95,47.6,3352.59,2736.08,10501.31,10/29/2024,021909300,EUR
17,17,Rosalia Barfitt,Research and Development,Product Engineer,4/2/2024,11/7/2024,95,3571.54,4011.74,35.2,5898.74,965.97,12516.05,9/26/2025,031304720,CNY
18,18,Taber O'Kieran,Human Resources,Accounting Assistant IV,5/28/2026,3/2/2025,53,17382.75,12465.63,29.2,4319.01,402.41,33764.98,12/23/2026,092901298,BYR
19,19,Maxwell Lyes,Research and Development,Community Outreach Specialist,9/29/2025,9/11/2024,2,5699.46,1602.87,5.7,5968.75,7505.14,5765.94,4/15/2026,314970664,CNY
20,20,Antonio Keller,Legal,Help Desk Technician,7/4/2026,5/15/2026,38,17479.06,19346.81,14.3,3159.49,6644.93,33340.43,11/23/2026,064103105,RUB
21,21,Maia Philler,Services,Chemical Engineer,7/1/2024,2/18/2024,58,18367.87,1294.01,41.8,2027.16,2549.92,19139.12,5/16/2026,211273781,EUR
22,22,Urbano Osman,Business Development,Financial Advisor,5/30/2024,3/11/2026,60,12253.97,11333.26,55.0,5208.66,4073.25,24722.64,6/14/2025,091911548,ARS
23,23,Dolph Droghan,Business Development,Analyst Programmer,10/20/2025,4/20/2025,97,5413.02,19437.46,34.9,4388.94,4947.39,24292.03,8/30/2025,062103259,CNY
24,24,Nickola Peppett,Research and Development,Associate Professor,6/4/2025,7/4/2024,76,9441.02,12830.0,31.7,644.12,7449.24,15465.9,3/2/2025,111901690,CNY
25,25,Henderson Simonian,Training,Community Outreach Specialist,8/16/2026,1/26/2024,78,16979.23,2158.1,6.5,5121.94,6545.79,17713.48,5/24/2025,231374961,BRL
26,26,Ross Parade,Marketing,Nurse Practicioner,3/27/2026,12/11/2026,44,13810.3,1801.77,47.7,5346.19,1631.44,19326.82,11/21/2024,114900025,JPY
27,27,Nellie Galletly,Sales,Analog Circuit Design manager,12/23/2025,11/12/2024,57,8503.89,12580.64,57.1,4915.06,4038.24,21961.35,7/15/2025,081518469,BRL
28,28,Ania Munnings,Services,Information Systems Manager,4/1/2024,6/13/2024,84,2660.67,18001.06,48.3,1737.57,2126.59,20272.71,6/7/2024,051009364,CNY
29,29,Shaun Gault,Research and Development,Quality Control Specialist,8/31/2025,5/16/2024,9,19932.7,15862.97,0.5,2695.34,223.8,38267.21,1/9/2025,082906892,PHP
30,30,Garrard Hursthouse,Business Development,Occupational Therapist,2/4/2024,12/9/2025,85,16005.35,11626.27,18.1,3734.59,7291.27,24074.94,2/15/2026,081311666,XAF
31,31,Jasen Peirpoint,Marketing,Systems Administrator I,10/3/2024,5/31/2026,9,16991.95,18057.9,48.5,1851.49,118.61,36782.73,7/19/2024,051402233,CNY
32,32,Bryn Rosenstock,Services,Media Manager II,1/2/2026,11/17/2025,18,7327.36,1656.56,16.8,5996.32,5480.25,9499.99,5/20/2026,042202219,CNY
33,33,Sybila Camellini,Sales,Cost Accountant,8/9/2025,3/14/2025,16,11333.57,4634.93,19.3,4118.11,2584.82,17501.79,1/2/2024,111901946,MAD
34,34,Philippa Luberti,Accounting,Social Worker,5/7/2026,1/23/2024,90,12515.93,10028.16,38.3,4795.58,2868.42,24471.25,11/10/2026,021907315,EUR
35,35,Kylen Gabbott,Business Development,Environmental Tech,3/28/2025,2/16/2025,54,8900.4,10681.92,55.7,149.92,2240.83,17491.41,7/6/2026,071923404,BYR
36,36,Anthony de Mendoza,Support,Physical Therapy Assistant,9/8/2025,11/17/2024,35,12621.87,14823.88,42.1,4257.9,1850.85,29852.8,12/16/2026,064102290,CNY
37,37,Nannette Jecks,Product Management,Safety Technician III,9/11/2025,11/15/2024,12,11737.42,17865.39,56.1,2319.12,1008.42,30913.51,3/30/2025,061092332,EUR
38,38,Christabella Gommey,Human Resources,Software Engineer II,12/18/2024,4/19/2024,67,8872.39,11897.49,16.9,2389.03,5500.69,17658.22,4/23/2026,104910274,ALL
39,39,Kennett Putton,Marketing,Quality Engineer,5/4/2024,6/8/2025,21,8691.61,7183.99,31.6,1569.88,4123.44,13322.04,4/25/2024,121142148,AZN
40,40,Gaylor Evett,Sales,VP Sales,12/16/2025,1/2/2025,48,4863.45,7330.96,25.2,5956.84,7560.77,10590.48,12/2/2026,011200365,USD
41,41,Bertrando Maulden,Engineering,Director of Sales,2/13/2025,6/16/2024,35,10227.56,14164.5,1.3,2211.49,1278.48,25325.07,5/27/2024,065304084,PLN
42,42,Caryn Pryell,Support,Help Desk Operator,11/5/2025,9/21/2025,55,16736.93,9886.64,15.4,2576.7,534.09,28666.18,10/31/2026,111308358,RUB
43,43,Benjie Espley,Business Development,Business Systems Development Analyst,1/31/2025,12/30/2024,97,12708.74,13917.32,55.7,3816.84,3823.73,26619.17,9/27/2024,061209756,CNY
44,44,Cornelia Poulson,Human Resources,Account Executive,11/10/2026,2/10/2025,80,12234.26,16912.72,30.6,4334.07,6071.76,27409.29,1/29/2024,021907577,SEK
45,45,Sergio Skune,Sales,Software Test Engineer I,8/26/2026,4/16/2024,62,4484.99,3580.44,8.8,5699.84,3389.17,10376.1,9/26/2026,082901224,PKR
46,46,Tammie Merali,Product Management,Sales Representative,11/6/2024,7/22/2024,24,11251.53,8697.03,27.9,2332.01,6408.32,15872.25,4/22/2026,073906306,BWP
47,47,Nataline Sarvar,Product Management,Staff Accountant III,2/21/2026,10/2/2024,96,4553.24,7223.09,4.0,5479.74,4481.62,12774.45,9/2/2026,102103562,PHP
48,48,Wendall Odgers,Engineering,Assistant Media Planner,6/17/2026,4/1/2024,50,2972.84,13707.72,34.0,1504.9,2038.34,16147.12,5/26/2024,065403626,IDR
49,49,Dyann Sahnow,Product Management,Senior Financial Analyst,6/21/2024,9/30/2025,77,16284.13,8258.73,2.7,4821.12,4468.77,24895.21,7/30/2024,125108683,PLN
50,50,Federico Nilges,Accounting,Cost Accountant,9/20/2024,10/19/2026,62,13105.83,10061.0,7.3,4239.29,158.5,27247.62,1/5/2025,065300279,EUR
